state,district,crop,year,season,area_hectares,Area Units,production_tonnes,Production Units,yield_kg_per_hectare,subdivision,year_num
Maharashtra,GADCHIROLI,Gram,1998-99,Rabi,3500.0,Hectare,2000.0,Tonnes,571.4285714285714,Vidarbha,1998
Maharashtra,GADCHIROLI,Gram,1999-00,Rabi,3600.0,Hectare,1600.0,Tonnes,444.4444444444444,Vidarbha,1999
Maharashtra,GADCHIROLI,Gram,2000-01,Rabi,8100.0,Hectare,4100.0,Tonnes,506.17283950617286,Vidarbha,2000
Maharashtra,GONDIA,Gram,1999-00,Rabi,21200.0,Hectare,9900.0,Tonnes,466.9811320754717,Vidarbha,1999
Maharashtra,GONDIA,Gram,2000-01,Rabi,2600.0,Hectare,1000.0,Tonnes,384.6153846153846,Vidarbha,2000
Maharashtra,HINGOLI,Gram,2000-01,Rabi,17900.0,Hectare,9200.0,Tonnes,513.9664804469273,Matathwada,2000
Maharashtra,JALGAON,Gram,1997-98,Kharif,50300.0,Hectare,32300.0,Tonnes,642.1471172962226,Madhya Maharashtra,1997
Maharashtra,JALGAON,Gram,1998-99,Rabi,57400.0,Hectare,40100.0,Tonnes,698.6062717770035,Madhya Maharashtra,1998
Maharashtra,JALGAON,Gram,1999-00,Rabi,61100.0,Hectare,48200.0,Tonnes,788.8707037643208,Madhya Maharashtra,1999
Maharashtra,JALGAON,Gram,2000-01,Rabi,25200.0,Hectare,17000.0,Tonnes,674.6031746031747,Madhya Maharashtra,2000
Maharashtra,JALNA,Gram,1998-99,Rabi,15900.0,Hectare,8300.0,Tonnes,522.0125786163522,Matathwada,1998
Maharashtra,JALNA,Gram,1999-00,Rabi,17600.0,Hectare,10900.0,Tonnes,619.3181818181818,Matathwada,1999
Maharashtra,JALNA,Gram,2000-01,Rabi,11900.0,Hectare,5900.0,Tonnes,495.7983193277311,Matathwada,2000
Maharashtra,KOLHAPUR,Gram,1997-98,Kharif,9700.0,Hectare,6700.0,Tonnes,690.7216494845361,Madhya Maharashtra,1997
Maharashtra,KOLHAPUR,Gram,1998-99,Rabi,11300.0,Hectare,7800.0,Tonnes,690.2654867256637,Madhya Maharashtra,1998
Maharashtra,KOLHAPUR,Gram,1999-00,Rabi,12200.0,Hectare,9300.0,Tonnes,762.295081967213,Madhya Maharashtra,1999
Maharashtra,KOLHAPUR,Gram,2000-01,Rabi,12800.0,Hectare,8700.0,Tonnes,679.6875,Madhya Maharashtra,2000
Maharashtra,LATUR,Gram,1997-98,Kharif,22100.0,Hectare,8800.0,Tonnes,398.19004524886867,Matathwada,1997
Maharashtra,LATUR,Gram,1998-99,Rabi,28900.0,Hectare,14800.0,Tonnes,512.1107266435986,Matathwada,1998
Maharashtra,LATUR,Gram,1999-00,Rabi,30300.0,Hectare,18500.0,Tonnes,610.5610561056105,Matathwada,1999
Maharashtra,LATUR,Gram,2000-01,Rabi,32700.0,Hectare,16000.0,Tonnes,489.2966360856269,Matathwada,2000
Maharashtra,NAGPUR,Gram,1998-99,Rabi,37300.0,Hectare,21900.0,Tonnes,587.1313672922251,Vidarbha,1998
Maharashtra,NAGPUR,Gram,1999-00,Rabi,38100.0,Hectare,22100.0,Tonnes,580.0524934383202,Vidarbha,1999
Maharashtra,NAGPUR,Gram,2000-01,Rabi,26700.0,Hectare,12900.0,Tonnes,483.1460674157303,Vidarbha,2000
Maharashtra,NANDED,Gram,1998-99,Rabi,32400.0,Hectare,13900.0,Tonnes,429.0123456790123,Matathwada,1998
Maharashtra,NANDED,Gram,1999-00,Rabi,33800.0,Hectare,20800.0,Tonnes,615.3846153846155,Matathwada,1999
