Name,subdivision,year,JAN,FEB,MAR,APR,MAY,rain_june,rain_july,rain_august,rain_september,OCT,NOV,DEC,annual_rainfall,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,monsoon_rainfall,normal_annual_rainfall,rainfall_deviation_pct
ROW2942,Vidarbha,1940,0.0,9.3,1.3,12.8,11.5,262.7,591.0,298.6,53.6,79.0,24.3,13.4,1357.5,9.3,25.6,1205.9,116.7,20.85850732,79.27644168,1205.9,1093.5470085470085,24.14
ROW2943,Vidarbha,1941,9.6,15.2,13.5,3.1,4.8,142.3,338.8,182.4,112.8,6.5,0.0,0.0,828.9999999999999,24.8,21.4,776.3,6.5,20.85850732,79.27644168,776.3,1093.5470085470085,-24.19
ROW2944,Vidarbha,1942,2.4,84.9,0.0,12.9,1.9,179.4,508.3,366.5,159.2,4.9,0.0,21.2,1341.6,87.30000000000004,14.8,1213.4,26.1,20.85850732,79.27644168,1213.4,1093.5470085470085,22.68
ROW2945,Vidarbha,1943,55.0,0.1,0.4,7.2,28.3,141.9,275.1,149.2,277.5,83.4,0.1,0.0,1018.2,55.1,35.9,843.7,83.5,20.85850732,79.27644168,843.7,1093.5470085470085,-6.89
ROW2946,Vidarbha,1944,4.5,59.4,64.8,1.6,2.7,96.6,470.4,370.6,213.2,67.4,16.5,0.0,1367.7,63.9,69.1,1150.8,83.9,20.85850732,79.27644168,1150.8,1093.5470085470085,25.07
ROW2947,Vidarbha,1945,13.8,0.4,0.0,24.6,3.3,147.0,404.7,299.6,274.2,30.3,0.6,1.1,1199.5999999999997,14.2,27.9,1125.5,32.0,20.85850732,79.27644168,1125.5,1093.5470085470085,9.7
ROW2948,Vidarbha,1946,0.0,14.2,0.7,15.5,9.7,237.0,376.9,292.4,107.4,8.6,97.6,13.0,1172.9999999999998,14.2,25.9,1013.7,119.2,20.85850732,79.27644168,1013.6999999999999,1093.5470085470085,7.27
ROW2949,Vidarbha,1947,35.0,26.7,23.7,7.8,5.3,112.1,406.0,345.8,167.8,25.9,0.3,11.8,1168.2,61.7,36.8,1031.7,38.0,20.85850732,79.27644168,1031.7,1093.5470085470085,6.83
ROW2950,Vidarbha,1948,48.9,9.4,7.0,3.9,4.5,125.1,374.1,267.8,201.1,14.4,126.5,0.0,1182.7,58.3,15.4,968.1,140.9,20.85850732,79.27644168,968.1,1093.5470085470085,8.15
ROW2951,Vidarbha,1949,1.2,1.5,1.0,5.6,28.8,222.7,412.9,266.2,323.5,134.8,0.0,0.1,1398.3,2.7,35.4,1225.3,134.9,20.85850732,79.27644168,1225.3,1093.5470085470085,27.87
ROW2952,Vidarbha,1950,0.1,27.3,14.9,0.7,5.6,84.6,375.0,143.7,116.3,13.3,0.3,11.9,793.6999999999997,27.4,21.2,719.5999999999997,25.5,20.85850732,79.27644168,719.5999999999999,1093.5470085470085,-27.42
ROW2953,Vidarbha,1951,4.6,0.6,41.9,14.6,11.1,136.8,348.8,318.6,123.1,81.5,0.6,0.0,1082.2,5.199999999999998,67.6,927.3,82.1,20.85850732,79.27644168,927.3000000000001,1093.5470085470085,-1.04
